Rank,Artist,Title,Views,Likes,Comments,Video URL
91,NCT WISH,Ode to Love,15041292,134673,15071,https://www.youtube.com/watch?v=1o5O2YvV3HU
92,NewJeans,Hype Boy,245404679,1777800,27456,https://www.youtube.com/watch?v=11cta61wi0g
93,IVE (아이브),I AM,384907347,2714410,136811,https://www.youtube.com/watch?v=6ZUIwj3FgUY
94,KPop Demon Hunters Cast,Soda Pop,747973032,2547115,75087,https://www.youtube.com/watch?v=983bBbJx0Mk
95,방탄소년단,Merry Go Round,25063427,690935,23618,https://www.youtube.com/watch?v=Iy0SpSLW8wo
96,마크툽 (MAKTUB),시작의 아이,25817900,193237,10606,https://www.youtube.com/watch?v=zMWaQ-D0g3o
97,방탄소년단,One More Night,21969033,605505,18900,https://www.youtube.com/watch?v=471JvbFq1Mw
98,임영웅,순간을 영원처럼,20199736,94933,27413,https://www.youtube.com/watch?v=sFK89gemgKM
99,방탄소년단,Please,24649026,662142,19263,https://www.youtube.com/watch?v=3N1k6ir55-Y
100,임영웅,우리들의 블루스,38713229,155332,34818,https://www.youtube.com/watch?v=JPPIrXdocjQ
